,name,wing_area,length,width,max_thrust,max_weight,max_altitude
A319,Airbus A319,124.0,33.84,3.95,205,75,12500
A320,Airbus A320,124.0,37.57,3.95,235,78,12500
A321,Airbus A321,128.0,44.51,3.95,266,93,12500
A332,Airbus A330-200,361.6,58.82,5.64,640,230,12500
A333,Airbus A330-300,361.6,63.67,5.64,640,242,12500
A343,Airbus A340-300,363.1,63.69,5.64,578,276,12500
A359,Airbus A350-900,442.0,66.8,5.96,758,280,13100
A388,Airbus A380-800,845.0,72.72,7.14,1354,560,13100
B734,Boeing 737-400,91.04,33.4,3.73,196,68,12500
B737,Boeing 737-700,124.6,33.6,3.73,233,70,12500
B738,Boeing 737-800,124.6,39.47,3.73,233,79,12500
B739,Boeing 737-900,124.6,42.11,3.73,233,85,12500
B744,Boeing 747-400,525.6,70.66,6.5,1012,396,13700
B748,Boeing 747-8,554.0,76.3,6.5,1199,447,13100
B752,Boeing 757-200,182.3,47.3,4.1,356,115,12800
B763,Boeing 767-300,283.3,54.94,5.03,462,158,13100
B772,Boeing 777-200ER,427.8,63.73,6.2,826,297,13100
B773,Boeing 777-300,427.8,73.86,6.2,822,299,13100
B77W,Boeing 777-300ER,436.8,73.86,6.2,1027,351,13100
B788,Boeing 787-8,377.0,56.72,5.77,669,228,13100
B789,Boeing 787-9,377.0,62.81,5.77,701,254,13100
C550,Cessna Citation II,31.83,14.39,1.46,22,6,13100
E145,Embraer ERJ145 (LR),51.2,29.87,2.28,69,22,11300
E170,Embraer E170,72.72,29.9,3.01,119,34,12500
E190,Embraer E190 (LR),92.5,36.24,3.01,154,50,12500
E195,Embraer E195 (LR),92.5,38.65,3.01,154,50,12500
E75L,Embraer E175 (LR),72.72,29.9,3.01,119,38,12500
